	Term_NDoc_Date	Sentence	Frame
500	18_121_2015-09-10	Flüchtlinge, Asylbewerber.	x
501	18_121_2015-09-10	Damit hat er, wenn er lange hier bleiben kann, natürlich die beste Chance zur Integration.	x
502	18_121_2015-09-10	Das gilt leider auch für vieles andere, zum Beispiel für die Frage, ob wir mit Bundeshilfen Sozialarbeit, Sprachklassen und Integrationshilfen auf den Weg bringen können.	x
503	18_121_2015-09-10	Sie sollten das Geld – dieses Beispiel haben Sie selber genannt – in die Qualifizierung von Migrantinnen und Migranten sowie Flüchtlingen investieren.	x
504	18_121_2015-09-10	In meiner Heimatstadt Magdeburg wurde die Aufnahme von Kindern aus Flüchtlings- und Zuwandererfamilien bisher auf wenige Schulen konzentriert.	x
505	18_121_2015-09-10	Sollten wir einen neuen Schwerpunkt auf Migrations- und Integrationsforschung legen, die uns gesellschaftlich helfen kann bei der Bewältigung der anstehenden Fragen?	x
506	18_121_2015-09-10	Ihren positiven Asylbescheid hat sie nach neun Monaten und zwei Wochen erhalten.	x
507	18_121_2015-09-10	Doch welcher Arbeitgeber stellt sie ein, wenn jederzeit die Abschiebung droht?	2.5
508	18_121_2015-09-10	Integration durch Bildung ist die größte Chance und Herausforderung dieses Jahrzehnts, und da kann der Bund helfen.	x
509	18_121_2015-09-10	Jetzt sind wir Parlamentarier an der Reihe, um Ihren bisweilen ideenlosen Entwurf zu überarbeiten, damit aus unserem Einwanderungsland ein Land der Chancen wird und damit es für alle in Deutschland innovativer und gerechter zugeht.	1.6
510	18_121_2015-09-10	Notwendig sind aber auch Flexibilisierung beim und schnellerer Zugang zum BAföG, ein Abschiebestopp während der Ausbildung, die Anerkennung ausländischer Qualifikationen sowie Sprachkurse und frühkindliche Bildung.	2.5
511	18_121_2015-09-10	Lange Asylverfahren und die Abhängigkeit von staatlicher Hilfe – das ist für die betroffenen Menschen frustrierend, und es ist die schlechteste Lösung für unser Gemeinwesen, übrigens auch für die öffentlichen Kassen.	x
512	18_121_2015-09-10	Wie viel genau, das hängt von vielen Variablen ab – je nachdem, wie viele Menschen wirklich einen Asylantrag stellen, wie viele Anträge dann anerkannt werden und wie viele Familienangehörige nachziehen.	x
513	18_121_2015-09-10	Was die Menschen in den Integrationskursen lernen, reicht aber oft nicht, um auf dem Arbeitsmarkt Fuß zu fassen.	x
514	18_121_2015-09-10	Deswegen geht es nicht nur um die Erhöhung der Zahl der berufsbezogenen Sprachkurse, sondern auch darum, möglichst früh Sprachkurse anzubieten und eine ununterbrochene Linie des Lernens zu ermöglichen.	x
515	18_121_2015-09-10	Wir brauchen Zuwanderung.	3
516	18_121_2015-09-10	Doch bis es dazu kommt, wollen wir versuchen, mit ganz konkreten Maßnahmen Druck von den Asylverfahren zu nehmen.	x
517	18_121_2015-09-10	Derzeit läuft dies alles über die Asylverfahren.	x
518	18_121_2015-09-10	Das halte ich für einen vernünftigen Weg, um das Asylverfahren zu entlasten.	x
519	18_121_2015-09-10	Wir haben den Vorschlag unterbreitet, das gute und bewährte Instrument der Integrationsbetriebe zu nutzen, um sozusagen Schritte zu ermöglichen, den ersten Arbeitsmarkt zu erreichen.	x
520	18_121_2015-09-10	Meine Damen und Herren, wir stehen vor der großen Aufgabe der Integration von Flüchtlingen, die eine dauerhafte Duldung haben, die ein Bleiberecht haben.	1.1
521	18_121_2015-09-10	Es gilt, die Willkommenskultur, die die Menschen überall, auf den Bahnhöfen und auf den Straßen, dokumentieren, auf die gesamte Gesellschaft auszudehnen.	1.5
522	18_121_2015-09-10	Meine Damen und Herren, zu den neuen Chancen, vor denen wir stehen, gehört auch, dass wir mithilfe der jungen Zuwanderer, die jetzt zu uns kommen, die demografische Entwicklung neu angehen können.	3.3
523	18_121_2015-09-10	Dazu Maßnahmen zum Unterhalt und zur Integration – ALG-II-Leistungen, Kosten der Unterkunft –, berufliche – Jobcenter, Förderprogramme, Qualifizierung – und die ESF-Gelder, die meist leider bereits gebunden sind.	x
524	18_121_2015-09-10	September 201511758 (A) (C) (B) (D) davon ausgegangen – die Zahlen nenne ich Ihnen in aller Deutlichkeit –, dass in diesem Jahr 3000 Asylanträge gestellt werden und sich weitere 3700 Flüchtlinge mit sogenannter SGB-III- und SGB-II-Relevanz im Land befinden.	x
525	18_121_2015-09-10	Das Programm „Integrationsrichtlinie Bund“ wurde auf 20 Menschen jährlich ausgelegt.	x
526	18_121_2015-09-10	Für die ESF-BAMF-Sprachkurse hat das BMAS ganze 260 Plätze einkalkuliert.	x
527	18_121_2015-09-10	Wir brauchen die Jobchancen, wir brauchen die Integrationsmittel, wir brauchen die Sprachkurse.	x
528	18_121_2015-09-10	Erhöhung, die im Haushalt ausgewiesen ist.	x
529	18_121_2015-09-10	Es wird, technisch betrachtet, zu einer Art Nachtrag zum Haushalt kommen müssen, schon allein aufgrund der zusätzlichen Ausgaben in den Bereichen Flucht, Asyl und Anerkennung und den entsprechenden Leistungsgesetzen des Bundes.	x
530	18_121_2015-09-10	Sie hat – erstens – gesagt: Wir müssen alles tun, um die Menschen, die nach Abschluss Asylverfahrens bei uns bleiben können mit aktiver Arbeitsmarktpolitik in unsere Gesellschaft zu integrieren.	x
531	18_121_2015-09-10	Zum Zweiten wünsche ich mir schon, dass wir Impulse für einen geordneten Zugang zum Arbeitsmarkt schaffen, und zwar über das Asylverfahren hinaus.	x
532	18_121_2015-09-10	Ich bin ein Anhänger einer Einwanderungsgesetzgebung.	x
533	18_121_2015-09-10	Ich wünsche mir schon, dass wir Arbeitsmarktprobleme, auch mit Blick auf die Situation auf dem Westbalkan, ein Stück weit über eine neue Zuwanderungsgesetzgebung regeln.	x
534	18_121_2015-09-10	Auch in den übrigen Regionen Deutschlands – am Rhein, am Main und im Ruhrgebiet – sagen die Wirtschaftsverbände: Lasst uns Migration und Asyl für eine gute Arbeitsmarktpolitik nutzen.	3
535	18_121_2015-09-10	Anstatt Angst in unserer Gesellschaft zu schüren, sollten wir Zuwanderung auch als eine Chance für die Qualifizierung der Menschen am Arbeitsmarkt begreifen.	3
536	18_121_2015-09-10	Ich habe bereits am Dienstag vorgeschlagen, dass wir uns in dieser Haushaltsdebatte endlich dazu durchringen sollten, ein Integrationskonjunkturprogramm aufzulegen.	x
537	18_121_2015-09-10	Ich möchte zu Beginn auf einen Vorschlag aus dem Koalitionspaket vom vergangenen Wochenende hinweisen, über den auch schon vor der Sommerpause diskutiert worden ist, nämlich die Umwandlung von Geldleistungen in Sachleistungen und die Kürzungen von Leistungen nach dem Asylbewerberleistungsgesetz.	x
538	18_121_2015-09-10	Es schränkt die Freiheit und Selbstbestimmung der Asylbewerber unzumutbar ein, und es ist völlig diskriminierend.	2.2
539	18_121_2015-09-10	Statt die Leistungen für Flüchtlinge noch weiter zu kürzen, fordern wir Sie auf, das Asylbewerberleistungsgesetz endlich abzuschaffen, (Beifall beim BÜNDNIS 90/DIE GRÜNEN und bei der LINKEN) und das aus einem weiteren wichtigen Grund: Die völlig unwürdige und unzureichende Gesundheitsversorgung wäre dann beendet.	2.2
540	18_121_2015-09-10	Wir brauchen keine Abschreckungslogik, sondern wir brauchen endlich eine echte Willkommenskultur.	1.5
541	18_121_2015-09-10	Auch dazu wäre ein Schritt in die richtige Richtung die Abschaffung des Asylbewerberleistungsgesetzes.	x
542	18_121_2015-09-10	Gehen Sie also wenigstens diesen Schritt, und schaffen Sie das Asylbewerberleistungsgesetz endlich ab!	x
543	18_121_2015-09-10	Menschen flüchten vor Krieg und Elend und erwarten zu Recht, dass wir ihnen Asyl gewähren und ein Leben in Sicherheit ermöglichen.	2.1
544	18_121_2015-09-10	Die Erfahrungen aus unserer Vergangenheit sollten wir uns bei der Integration der jetzt zu uns kommenden Menschen zunutze machen.	x
545	18_121_2015-09-10	Dabei wird der Haushalt des Bundesministeriums für Arbeit und Soziales wie kein anderer von der steigenden Zahl von Asylsuchenden betroffen sein.	x
546	18_121_2015-09-10	Das umfasst Hartz-IV-Leistungen auf der einen Seite und den Bereich der Arbeitsförderung und der beruflichen Integration von Zuwanderern auf der anderen Seite.	x
547	18_121_2015-09-10	In Sachen Integration haben wir mit der Verkürzung der Wartefrist für die Arbeitserlaubnis einen ersten Schritt gemacht.	x
548	18_121_2015-09-10	Ich sage an dieser Stelle auch ganz deutlich, dass ich die Wirtschaft hier ganz klar mit in der Verantwortung und mit in der Pflicht sehe, sich nachhaltig für die Integration von Flüchtlingen zu engagieren.	x
549	18_121_2015-09-10	Meine Damen und Herren, Deutschland erwartet in diesem Jahr circa 8000 Asylbewerberinnen und Asylbewerber.	x
