	Term_NDoc_Date	Sentence	Frame
700	18_127_2015-10-01	Es geht nicht um eine Differenzierung in schlechte und gute Flüchtlinge, sondern darum, ob je­ mand überhaupt Flüchtling oder anerkannter Asylbewer­ ber ist oder ob er es nicht ist.	
701	18_127_2015-10-01	Es geht darum, die Asylverfahren zu beschleunigen, die Unterbringung zu erleichtern und gleichzeitig die Ab­ schiebung abgelehnter Asylbewerber zu forcieren.	
702	18_127_2015-10-01	Auch das gehört zu einem geordneten Asylver­ fahren und zur Realität in diesem Land.	
703	18_127_2015-10-01	Ich bin davon überzeugt, dass wir so als Gesamtstaat die Problematik und den Ausnahmezustand beim Thema „Flüchtlinge und Asylbewerber“ bewältigen werden kön­ nen.	
704	18_127_2015-10-01	Wenn man das Ergebnis mit dem schlechten Asylkompromiss von 1993, wenn ich das einmal sagen darf, vergleicht, dann kann man feststellen: Wir haben in  Eckhardt Rehberg  Deutscher Bundestag – 18.	
705	18_127_2015-10-01	Oktober 201512288  (A) (C)  (B) (D)  der Asylpolitik jetzt einen riesigen Schritt gemacht, der unser Land voranbringen wird.	
706	18_127_2015-10-01	Es ist die schlimmste Verschärfung seit 1993 im Asylrecht!	
707	18_127_2015-10-01	Wir sollten uns überlegen, welche wirtschaftliche Not sich oftmals dahinter verbirgt, wenn Menschen alles auf­ geben, wenn sie ihre Kinder nehmen und sich auf den Weg machen, auch wenn sie bei uns kein Asyl bekom­ men können.	
708	18_127_2015-10-01	Wir sorgen jetzt dafür, dass die Integra­ tionskurse auch für Menschen, die sich im Asylverfahren befinden und eine gute Bleibeperspektive haben, sowie für Geduldete geöffnet werden.	
709	18_127_2015-10-01	Die  Zahl der Sprachkurse wird erheblich erhöht.	
710	18_127_2015-10-01	Wir wissen, dass Flüchtlinge aus den Ländern des Westbalkans in den weitaus meisten Fällen kein Asyl be­ kommen, weil sie nicht verfolgt sind.	
711	18_127_2015-10-01	Oktober 2015 12291  (A) (C)  (B) (D)  ten wollen, eine legale Möglichkeit der Arbeitsmigration, damit sie keine Asylanträge stellen.	
712	18_127_2015-10-01	Wenn es uns gelingt, dass Asylverfahren deutlich schneller entschieden werden, dass die deutsche Sprache schnell erlernt werden kann, dass Qualifikationen erfasst und Praktika und Ausbildung angeboten werden, dann können wir diese Herausforderung meistern.	
713	18_127_2015-10-01	Gerade in der Situation, in der wir uns jetzt befinden, einer Situ­ ation, in der überall Flüchtlinge sind, brauchen wir die Integrationskraft der deutschen Wirtschaft.	
714	18_127_2015-10-01	Wer über Fluchtursachen und deren Bekämpfung reden will, der darf natürlich beim Thema Handelspolitik nicht schweigen.	
715	18_127_2015-10-01	Ich will zur Flüchtlingsdebatte nicht sehr viel sagen, aber ich will sagen, dass wir versuchen müssen, den Menschen die Chance zu geben, auf eine vernünftige Art und Weise zu uns zu kommen, auch um Zuwanderung steuern zu können.	
716	18_127_2015-10-01	Einige der Gründe für die Flucht finden wir im Menschenrechtsbericht, doch wesentliche Aspekte der Fluchtursachen bleiben ausgeblendet.	
717	18_127_2015-10-01	Der Kli­ mawandel wird durch die Industrienationen wesentlich mitverursacht und führt zu neuen Fluchtursachen in der  Frank Schwabe  Deutscher Bundestag – 18.	
718	18_127_2015-10-01	Die Linke fordert deswegen, dass in den künftigen Berichten die europäische Flüchtlingspolitik und die Fluchtursachen in einem eigenen Kapitel ehrlich aufgearbeitet werden.	
719	18_127_2015-10-01	Neben der großen Hilfsbereitschaft gibt es in Deutsch­ land leider auch einen tief verankerten Rassismus in der Bevölkerung und bei staatlichen Institutionen.	
720	18_127_2015-10-01	Die aktuellen Migrantenströme zeigen die Anziehungskraft unseres Landes.	
721	18_127_2015-10-01	Mehr noch: Die Europäi­ sche Union hat seit Jahren die katastrophale Flüchtlings­ lage in Griechenland und in Italien – wie oft haben wir uns im Menschenrechtsausschuss mit dieser Thematik auseinandergesetzt – fahrlässig, ja sträflich hingenom­ men und damit dazu beigetragen, dass sich die Karawa­ ne der Migranten heute in Richtung Europa, in Richtung Deutschland bewegt.	
722	18_127_2015-10-01	Nicht alle, die kommen, haben Anspruch auf Asyl, und nicht alle werden bleiben können.	
723	18_127_2015-10-01	Es bleibt eine schwierige – auch das will ich sagen –, aber dennoch richtige Entscheidung, dass im aktuellen Asylkompromiss drei sichere Länder ohne politische Verfolgung auch von uns als sichere Herkunftsländer ein­ gestuft werden.	
724	18_127_2015-10-01	Das gilt sowohl für die Anwendung des Asylrechts als auch für die anderen Rechtsnormen.	
725	18_127_2015-10-01	Und Deutschland und Europa schützt man nicht vor ungebremster Zuwanderung, indem man Grenzen verdichtet, eine harte Rhetorik auflegt und die Probleme konsequent ignoriert.	
726	18_127_2015-10-01	Neben europäischer Solidarität bei der Aufnahme von Flüchtlingen sind vor allem entschlossene außenpoliti­ sche Ansätze gefordert, die eine spürbare Verbesserung der Situation nicht nur in den Herkunftsländern, sondern auch in den angrenzenden Schutzgebieten bringen und damit das Problem der Sekundärmigration, für das unser Asylrecht schon laut Definition nun überhaupt nicht ge­ dacht ist, endlich an der Wurzel angehen.	
727	18_127_2015-10-01	Die Menschen begeben sich in die Hände von kriminellen Schleppern, die sie auf seeuntüchtigen Boo­ ten auf den Weg nach Europa schicken.	
728	18_127_2015-10-01	Fluchtursachen lassen sich nicht von heute auf morgen bekämpfen.	
729	18_127_2015-10-01	Zu die­ sem Werkzeugkasten gehört zweifelsohne ein umfassen­ des Zuwanderungsgesetz, das Flüchtlingen legale Mög­ lichkeiten für einen Neustart in Deutschland bietet.	
730	18_127_2015-10-01	Ich finde, es ist vielsagend, wenn nur halb­ herzig über die Fluchtursachen gesprochen wird.	
731	18_127_2015-10-01	Ein Ansatz ist die Mission EUNAVFOR MED, bei der es in der ersten Phase um die Aufklärung der Schlep­ pernetzwerke ging, und bei der es jetzt darum geht, die Schlepperboote und das Netzwerk der Beobachter der Schlepper auf dem Mittelmeer auszuheben.	
732	18_127_2015-10-01	Wir müssen neben der Fluchtursachenbekämp­ fung – ich komme nachher darauf zurück – im nördlichen Afrika Einrichtungen schaffen, in denen die Flüchtlinge sichere Aufenthaltsorte bekommen.	
733	18_127_2015-10-01	Ich möchte dafür werben, dass wir alles daranset­ zen, auch unserer Öffentlichkeit zu erklären, dass wir die Ursachenbekämpfung angehen, aber auch die ärgste Not lindern müssen, indem wir die Flüchtlinge aus den Schlepperbooten befreien und auf den Boden der Euro­ päischen Union bringen.	
734	18_127_2015-10-01	Es ist aber ein notwendiger Schritt, um das Schleppernetzwerk lahm­ zulegen.	
735	18_127_2015-10-01	Na­ türlich gibt es das Risiko der bewaffneten Auseinander­ setzung zwischen militärischen Kräften und Schleppern.	
736	18_127_2015-10-01	Sie wollen am libyschen Festland und in libyschen Küstengewässern gezielt gegen die Infrastruktur der Schlepper vorgehen.	
737	18_127_2015-10-01	Na­ türlich sind die Schlepper grausame Menschen, die ein schlimmes Geschäft mit dem Leid der Flüchtlinge be­ treiben.	
738	18_127_2015-10-01	Aber statt eine Mission auf den Weg zu bringen, die einerseits riskant ist, aber andererseits ihre Ziele nicht erreichen wird, gibt es einen sicheren und effektiveren Weg, den Schleppern die Geschäftsgrundlage zu entziehen, nämlich endlich legale und sichere Einwanderungswege nach Europa zu schaffen.	
739	18_127_2015-10-01	Wir wollen legale und sichere Einwanderungswege und vor allem endlich eine engagierte und effektive Seenotrettung.	
740	18_127_2015-10-01	Unsere größte Herausforderung in Europa sind aber nicht die Schulden, sondern der ungebremste Zustrom von Migranten und Flüchtlingen.	
741	18_127_2015-10-01	Seit Januar 2015 sind eine halbe Million Migranten und Flüchtlinge mithilfe von Schleuserbanden über das Mittelmeer nach Europa gekommen.	
742	18_127_2015-10-01	Es geht nicht um die Frage, ob wir Seenot­ rettung oder Bekämpfung der Schlepperbanden wollen.	
743	18_127_2015-10-01	Es wird hier behauptet, es soll zukünftig darum gehen, dass die Boote der Schlepper versenkt werden.	
744	18_127_2015-10-01	Es geht darum, dass Schlepper identifi­ ziert werden sollen, dass sie erkennungsdienstlich behan­ delt werden sollen, dass die Routen erkannt werden und dass Boote beschlagnahmt werden können.	
745	18_127_2015-10-01	Niemand hat behauptet, dass mit die­ sem Mandat die Fluchtursachen bekämpft werden sollen.	
746	18_127_2015-10-01	Wenn man sich anschaut, was wir als Koalitionsfraktionen und die Bundesregierung sonst noch unternehmen, dann finde ich es töricht, wenn man behauptet, wir würden uns nicht um die Bekämp­ fung der Fluchtursachen kümmern.	
747	18_127_2015-10-01	Meine Fraktion, die SPD, setzt sich dafür ein, dass wir in Deutschland ein Einwanderungsgesetz bekom­ men, das den Menschen zeigt, wie sie nach Deutschland kommen können.	
748	18_127_2015-10-01	Ich würde mir wünschen, dass sich auch andere Fraktionen hier im Parlament bewegen, da­ mit wir schnell ein solches wichtiges Einwanderungsge­ setz bekommen.	
749	18_127_2015-10-01	Hier beobachten unsere Einsatzkräfte Tag für Tag, wie skrupellose Schlepper ihrem Geschäft nachge­ hen und aus der Not ihrer Opfer Profit schlagen.	
