	Term_NDoc_Date	Sentence	Frame
250	18_119_2015-09-08	Das Bundesprogramm für junge Flüchtlinge „Willkommen bei Freunden“ wird von vielen zusätzlichen Maßnahmen begleitet, darunter die kindgerechte Ausstattung von Flüchtlingsunterkünften, die Förderung von Müttern mit Migrationshintergrund und eine gezielte Unterstützung junger Migranten.	
251	18_119_2015-09-08	Dabei haben Sie, Herr Minister Gröhe, und Ihr Haus schon seit Herbst 2014, also  seit gut einem Jahr, durch die Einigung mit den Ländern den Auftrag, die flächendeckende Einführung einer Gesundheitskarte für Asylsuchende zu prüfen und die Kostenübernahme durch den Bund sicherzustellen.	
252	18_119_2015-09-08	Erstens befürchtet die CDU/ CSU-Fraktion – aus meiner Sicht nicht zu Unrecht – einen gewissen Pull-Effekt, nicht in Bezug auf die Flüchtlinge, die zu Recht hier herkommen, sondern in Bezug auf die, die aus anderen, insbesondere ökonomischen Erwägungen versuchen, hier Asyl zu bekommen und dann irgendwann mit Zeitverzögerung zurückgeschickt werden.	
253	18_119_2015-09-08	Zweitens stellt sich für uns die Frage, wie abgegrenzt wird, dass diese Flüchtlinge nur Leistungen nach dem Asylbewerberleistungsgesetz bekommen.	
254	18_119_2015-09-08	Ich denke, der diskriminierungsfreie Zugang zur allgemeinen Gesundheitsversorgung und nicht zu der eingeschränkten Gesundheitsversorgung nach dem Asylbewerberleistungsgesetz ist ein soziales Menschenrecht.	
255	18_119_2015-09-08	Was die Bekämpfung von Diabetes angeht, ist auch der Aspekt von Migration und Integration diesmal im Haushalt nachzulesen.	
256	18_119_2015-09-08	Im Rahmen dieser Veranstaltung sind sehr viele Maßnahmen gerade im Bereich der Migration und Integration besprochen worden, die wir jetzt in diesem Haushalt suchen werden.	
257	18_119_2015-09-08	Mich freut es daher, dass wir auch im Einzelplan 15 Mittel für Aspekte der Migration und der Integration eingestellt haben.	
258	18_119_2015-09-08	Außerdem freue ich mich darüber, dass nun auch NRW einen unbürokratischen Weg für die Einführung einer Gesundheitskarte für Asylsuchende gefunden und frei gemacht hat.	
259	18_119_2015-09-08	Wenn sich Menschen in Not gewissenlosen Schleppern anvertrauen, wenn ihr Leben auf dem Mittelmeer in Gefahr gerät oder wenn sie in einem Lastwagen qualvoll ersticken, dann bleibt die Würde der Menschen auf der Strecke.	
260	18_119_2015-09-08	Rassistische, fremdenfeindliche oder sonstige menschenverachtende Motive eines Täters können bei der Strafzumessung jetzt ausdrücklich berücksichtigt werden.	
261	18_119_2015-09-08	Es war richtig, dass die Bundesanwaltschaft nach dem Brandanschlag auf eine Unterkunft für Asylbewerber in Salzhemmendorf sofort aktiv geworden ist.	
262	18_119_2015-09-08	Das Grundrecht auf Asyl war eine Lehre aus unserer eigenen Vergangenheit.	
263	18_119_2015-09-08	Die Vielfalt der Kulturen, der Religionen und der Traditionen ist manchmal anstrengend – wir erleben es heute schon –, und sie wird in einer Einwanderungsgesellschaft, die wir sind und die wir noch mehr werden, auch nicht weniger werden.	
264	18_119_2015-09-08	Die Debatte über ein Einwanderungsgesetz oder darüber, wie wir Einwanderung organisieren, wird weitergehen, und wir werden die Strafvorschriften gegen den Menschenhandel ausbauen.	
265	18_119_2015-09-08	Ich bin überzeugt, dass wir beides brauchen: legale Möglichkeiten der Einwanderung und die Verfolgung von gewissenlosen Schleppern.	
266	18_119_2015-09-08	Das Jahr hat gezeigt, dass Rassismus und rechte Gewalt am Rande der Gesellschaft fortleben, dass sie auch in einer offenen,  Katja Keul  Deutscher Bundestag – 18.	
267	18_119_2015-09-08	Eine ähnliche Schnittstellenfunktion erfüllt der Generalbundesanwalt beim Thema islamistischer Terrorismus.	
268	18_119_2015-09-08	Hier sehen wir zunehmend die Herausforderung der sogenannten Rückkehrer, also Dschihadisten, die aus den von der Terrormiliz „Islamischer Staat“ besetzten Gebieten in Syrien und im Irak zurück nach Deutschland kommen.	
269	18_119_2015-09-08	Ich glaube, es war richtig, dass wir eine härtere Bestrafung dieser Hasskriminalität ermöglicht haben durch einen neuen Strafzumessungsgrund, damit Rassisten stärker bestraft werden können, wenn sie Flüchtlinge angreifen, Unterkünfte in Brand stecken oder in diesem unsäglichen Umfang, wie wir ihn leider in Onlineforen erleben, menschenverachtende Hetze verbreiten.	
270	18_119_2015-09-08	Asyl und Schutz nach der Genfer Flüchtlingskonvention.	
271	18_119_2015-09-08	Ich möchte auf den Umgang mit dem Thema „Asyl und Migration“ aus rechtspolitischer Sicht zu sprechen kommen.	
272	18_119_2015-09-08	Das Grundrecht auf Asyl steht vor dem Hintergrund unserer Geschichte, vor dem Hintergrund der christlichen Nächstenliebe und Humanität in keiner Weise zur Disposition.	
273	18_119_2015-09-08	Wir müssen die rechtlichen Regelungen in Bezug auf den Aufenthalt und die Gewährung von Asyl und Zuflucht auf den Prüfstand stellen und dafür sorgen, dass unser Land genügend Kapazitäten hat, um den wirklich Schutzbedürftigen und den Menschen mit Bleibeperspektive zu helfen.	
274	18_119_2015-09-08	Das heißt auch, dass wir diejenigen, die keine Bleibeperspektive und keinen Asylgrund haben, bitten, in ihre Heimat zurückzukehren.	
275	18_119_2015-09-08	Nur so können wir das Grundrecht auf Asyl auf Dauer aufrechterhalten.	
276	18_119_2015-09-08	Uns alle beschäftigen in diesen Tagen die Bilder von Asylsuchenden in vollgestopften Zügen, von Asylsuchenden, die, untergebracht in Hallen oder anderen Notunterkünften, auf ihre Registrierung warten.	
277	18_119_2015-09-08	Doch wie geht es für die Asylsuchenden danach weiter?	
278	18_119_2015-09-08	Ich begrüße, dass die BaFin bereits jetzt die Vorgaben für Dokumente gelockert hat, um die Auszahlung von Sozialleistungen zu ermöglichen, eben auch an Asylsuchende.	
279	18_119_2015-09-08	Neben anderen Projekten ist der Verbraucherschutz von Migranten, insbesondere in der digitalen Welt, ein Projekt im Titel „Information der Verbraucherinnen und Verbraucher“.	
280	18_119_2015-09-08	Die Zuwanderer müssen sich jetzt mit unserer Kultur auseinandersetzen und viele Kaufentscheidungen treffen.	
281	18_119_2015-09-08	Da die Zuwanderer solche familiären Netzwerke hier nicht haben, müssen sie sich auch diesbezüglich neu orientierten.	
282	18_119_2015-09-08	Ich glaube, wir werden auch gut daran tun – das wird eine sehr wesentliche Integrationsaufgabe sein –, diejenigen, die zu uns kommen und die bisher nicht in einer rechtsstaatlichen Situation gelebt haben, und diejenigen, die möglicherweise mit unserer Rechtsordnung gar nicht klarkommen, davon zu überzeugen, dass sie diese Rechtsordnung annehmen und dass sie sie am Ende des Tages auch aktiv mit uns leben müssen, wenn sie bei uns leben wollen.	
283	18_119_2015-09-08	Das ist auch eine Bekämpfung von Fluchtursachen.	
284	18_119_2015-09-08	Wir unterscheiden zwischen jenen, die wegen Krieg und Verfolgung Aussicht auf Asyl haben, und denen, die keine Chance auf eine Zukunft in Deutschland haben.	
285	18_119_2015-09-08	Wer aus einem sicheren Land kommt, der soll während des Asylverfahrens anders behandelt werden können als jemand aus einem Kriegsgebiet, zum Beispiel in der Erstaufnahmeeinrichtung verbleiben müssen und gar nicht erst auf die Kommunen verteilt werden, damit sein Verfahren schnell bearbeitet werden kann.	
286	18_119_2015-09-08	Wer nach einem abgeschlossenen Asylverfahren ausreisen muss, der soll weniger Leistungen bekommen als jemand, der dauerhaft hierbleiben darf.	
287	18_119_2015-09-08	Diese Unterscheidung ist die Voraussetzung für eine breite Akzeptanz des Grundrechts auf Asyl in unserer Bevölkerung.	
288	18_119_2015-09-08	Wir werden dafür unsere Außenund Entwicklungspolitik stärker auf die Bekämpfung der Fluchtursachen in den wichtigsten Herkunftsländern konzentrieren müssen: national genauso wie auf der Ebene der Europäischen Union.	
289	18_119_2015-09-08	Wir werden nicht den Asylbewerbern, die nach Deutschland kommen, obwohl sie auf ein anderes Land verteilt wurden, bei uns Asylbewerberleistungen geben, sondern sie an das Land verweisen, in das sie verteilt worden sind.	
290	18_119_2015-09-08	Ich nenne aus Zeitgründen nur ganz wenige: die Bekämpfung des Terrorismus und der organisierten Kriminalität, der Kampf gegen den Wohnungseinbruch, die Digitalisierung unserer Gesellschaft mit all den Herausforderungen, die dazugehören.	
291	18_119_2015-09-08	Der versuchte Anschlag im Schnellzug Thalys in Frankreich hat uns allen vor Augen geführt, dass es beim Terrorismus keine Pause gibt, auch wenn wir vielleicht gerade von dem Flüchtlingsproblem absorbiert sein könnten.	
292	18_119_2015-09-08	Es gibt aber viele andere Aspekte, zum Beispiel die Integration von qualifizierten Asylbewerbern und Flüchtlingen in unseren Arbeitsmarkt.	
293	18_119_2015-09-08	Und der bayerische Innenminister Herrmann, der ja gerade als besonders kompetenter Integrationsexperte aufgefallen ist, sagt zu der richtigen Entscheidung der Bundesregierung, die Flüchtlinge aus Ungarn einreisen zu lassen, dass dies – Zitat – „ein völlig falsches Signal innerhalb Europas“ sei.	
294	18_119_2015-09-08	Das ist unser Grundrecht auf Asyl, unsere Verpflichtung und unser Ausdruck von Werten und von Menschlichkeit.	
295	18_119_2015-09-08	Deswegen halte ich es für unbedingt erforderlich – das ist für mich eine der wichtigsten Forderungen bei den Diskussionen über die Maßnahmen, die wir demnächst beschließen und ergreifen werden –, die Asylverfahren zu beschleunigen.	
296	18_119_2015-09-08	Für diejenigen, die hier Schutz bekommen und denen wir hier Frieden und eine Perspektive geben, müssen wir mehr und schneller etwas tun, wenn es um ihre Integration geht.	
297	18_119_2015-09-08	Wir müssen noch mehr tun für die Integration derjenigen in den Arbeitsmarkt, die bleiben können, und auch für die Sprachförderung.	
298	18_119_2015-09-08	Einwanderung ist essenziell erforderlich für unsere Gesellschaft.	
299	18_119_2015-09-08	Was die Willkommenskultur angeht, haben wir jetzt eine ganz andere Situation als Anfang der 90er-Jahre.	
