,Term_NDoc_Date,Sentence
0,18_100_2015-04-23,Erste Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes zur Förderung von Investitionen finanzschwacher Kommunen und zur Entlastung von Ländern und Kommunen bei der Aufnahme und Unterbringung von Asylbewerbern Drucksache 18/4653 (neu) ............
1,18_100_2015-04-23,Mit dem vorliegenden Entwurf eines Nachtragshaushalts 2015 und dem Entwurf eines Gesetzes zur Förderung von Investitionen finanzschwacher Kommunen und zur Entlastung von Ländern und Kommunen bei der Aufnahme und Unterbringung von Asylbewerbern setzt die Bundesregierung ihre Politik für eine größere Tragfähigkeit der öffentlichen Finanzen und für Wachstum fort.
2,18_100_2015-04-23,"Berlin, Donnerstag, den 23. April 2015 9485  Dr. Dietmar Bartsch  (A) (C)  (D)(B) bereitstellen – auch in Kenntnis der Tatsache, dass die Übergriffe auf Ausländer, auf Unterkünfte der Asylbewerber zugenommen haben und dass Menschen, die im Ehrenamt diese Willkommenskultur, von der wir alle sprechen, leben, eben nicht wenige Probleme haben."
3,18_100_2015-04-23,"Es ist überhaupt nicht hinnehmbar, wenn der Generalsekretär einer immerhin regierungstragenden Partei, der CSU, sagt, das Asylrecht sei nicht für Sozialtouristen gemacht, die einen Freifahrtschein ins „All-inclusive-Sozialparadies“ buchen wollen."
4,18_100_2015-04-23,"Denn auch unter dem Gesichtspunkt – Kollege Bartsch hat auf die Flüchtlingsströme hingewiesen –, dass wir in den nächsten Jahren große Anstrengungen unternehmen müssen, um Flüchtlinge aufzunehmen und zu integrieren – Integration ist fast genauso wichtig –, muss die Leistungsbereitschaft der Kommunen gewährleistet sein."
5,18_100_2015-04-23,"Wir schlagen Ihnen vor, heute für morgen zu investieren, in Ganztagsplätze in den Kitas, in Qualifizierung und Beratung von Langzeitarbeitslosen ebenso wie von Asylbewerberinnen und Asylbewerbern sowie Geduldeten und in neue Mobilitätskonzepte, damit die Mobilität zukunftsfähig wird."
6,18_100_2015-04-23,"Zum Schluss werde ich kurz das Thema der Flüchtlinge und Asylbewerber streifen und darauf eingehen, wie unsere Kommunen damit umgehen und wie wir sie dabei stärken können."
7,18_100_2015-04-23,"Ohne deren Arbeit in den Kommunen, ohne deren Arbeit gerade jetzt mit Asylbewerbern und Flüchtlingen, würde so einiges nicht möglich sein, würde vieles teurer werden."
8,18_100_2015-04-23,Sie tragen zur Integration bei.
9,18_100_2015-04-23,Wie sind die Sprachkurse und die Unterkünfte für Flüchtlinge organisiert?
10,18_100_2015-04-23,"Es darf nicht passieren, dass aufgrund der kommunalen Schwierigkeiten die Willkommenskultur in der Bevölkerung kippt."
11,18_100_2015-04-23,"Die Mehrheit der deutschen Bevölkerung steht beispielhaft zu unserer Willkommenskultur, indem sie vor Ort auf vielfältige Weise die Ankunft und das Leben der Flüchtlinge begleitet und erleichtert."
12,18_100_2015-04-23,"Kolleginnen und Kollegen, das Recht auf Asyl ist und bleibt unantastbar."
13,18_100_2015-04-23,"Uns ist bewusst, dass es nicht reicht, wenn wir uns um eine schnellere Bearbeitung der Asylanträge kümmern und uns sonst damit begnügen, immer wieder einmal Finanzspritzen für die Kommunen zur Verfügung zu stellen."
14,18_100_2015-04-23,"Ich nenne hier medizinische Versorgung, psychologische Betreuung, Sprachförderung, Schaffung von Arbeitsmöglichkeiten und Integration."
15,18_100_2015-04-23,"Hier geborene Kinder, deren Eltern erst nach der Geburt eine Aufenthaltserlaubnis erhalten, sollen die Staatsangehörigkeit mit der Erteilung des Aufenthaltstitels der Eltern bekommen."
16,18_100_2015-04-23,"Wenn wir wollen, dass Menschen sich von Anfang an hier dazugehörig fühlen, dass Kinder von Ausländern kein Thema der Integration sind, sondern der gemeinsamen Gesellschaft, des Zusammenlebens, dann ist diese Reform längst überfällig."
17,18_100_2015-04-23,Die Forderung nach einer „Willkommenskultur“ ist zwar schnell aufgestellt und sicherlich auch gut gemeint.
18,18_100_2015-04-23,Minister de Maizière ist der Minister „No Willkommenskultur“.
19,18_100_2015-04-23,"Kein Ius soli, kein kommunales Wahlrecht, und beim Einwanderungskonzept – das hat er in seiner Rede deutlich gemacht – weiß der Minister vor allen Dingen, was er nicht will."
20,18_100_2015-04-23,"Dass das kein akutes Problem ist, liegt an der Einwanderung von Menschen aus den südeuropäischen Ländern infolge der Euro-Krise und an den Flüchtlingen, die wir gegenwärtig aufnehmen."
21,18_100_2015-04-23,"Deshalb wäre es an der Zeit, die Weichen für eine moderne Einwanderungspolitik zu stellen."
22,18_100_2015-04-23,"Es hat ja auch ein paar Jahrzehnte gebraucht, bis Sie kapiert haben, dass die Gastarbeiter Einwanderer sind und Deutschland ein Einwanderungsland ist."
23,18_100_2015-04-23,"Aber lassen Sie uns die Zeit in dieser Debatte dafür nutzen, wenigstens die Signale auf Willkommenskultur zu stellen."
24,18_100_2015-04-23,"Den Bundesinnenminister als denjenigen zu bezeichnen, der der Integration im Wege stand, heißt wirklich, das, was die Union in den letzten Jahren mit dieser Regierung getan hat, vollkommen zu verleugnen."
25,18_100_2015-04-23,"Die entscheidende Frage ist, was in der Integrationspolitik zum Thema Anerkennungsgesetz und Ähnliches passiert ist."
26,18_100_2015-04-23,"Wenn Sie den Grünen und allen anderen, die für ein republikanisches Staatsangehörigkeitsmodell in Deutschland streiten und sich dafür einsetzen, vorwerfen, nur auf Wählerinnen- und Wählerstimmen abzuzielen, dann möchte ich Sie darauf hinweisen, dass der Vizevorsitzende der Bundes-CDU, Laschet,  (Michael Frieser [CDU/CSU]: Stellvertretender Vorsitzender!)  im Rahmen des Wahlkampfes dem Verein Milli Görüs in Bremen einen Besuch abgestattet hat, einem islamistischen Verband, der kein Problem mit Dschihadisten hat, und dort um Wählerinnen- und Wählerstimmen geworben hat."
27,18_100_2015-04-23,"Hier müssen wir die Hürden absenken, wie das mein Kollege Beck sagte, gerade wenn wir an einer wirklichen Integrationspolitik interessiert sind, meine Damen und Herren."
