	Term_NDoc_Date	Sentence	Frame
0	18_100_2015-04-23	Erste Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes zur Förderung von Investitionen finanzschwacher Kommunen und zur Entlastung von Ländern und Kommunen bei der Aufnahme und Unterbringung von Asylbewerbern Drucksache 18/4653 (neu) ............	x
1	18_100_2015-04-23	Mit dem vorliegenden Entwurf eines Nachtragshaushalts 2015 und dem Entwurf eines Gesetzes zur Förderung von Investitionen finanzschwacher Kommunen und zur Entlastung von Ländern und Kommunen bei der Aufnahme und Unterbringung von Asylbewerbern setzt die Bundesregierung ihre Politik für eine größere Tragfähigkeit der öffentlichen Finanzen und für Wachstum fort.	3
2	18_100_2015-04-23	Berlin, Donnerstag, den 23. April 2015 9485  Dr. Dietmar Bartsch  (A) (C)  (D)(B) bereitstellen – auch in Kenntnis der Tatsache, dass die Übergriffe auf Ausländer, auf Unterkünfte der Asylbewerber zugenommen haben und dass Menschen, die im Ehrenamt diese Willkommenskultur, von der wir alle sprechen, leben, eben nicht wenige Probleme haben.	2.1
3	18_100_2015-04-23	Es ist überhaupt nicht hinnehmbar, wenn der Generalsekretär einer immerhin regierungstragenden Partei, der CSU, sagt, das Asylrecht sei nicht für Sozialtouristen gemacht, die einen Freifahrtschein ins „All-inclusive-Sozialparadies“ buchen wollen.	4.4
4	18_100_2015-04-23	Denn auch unter dem Gesichtspunkt – Kollege Bartsch hat auf die Flüchtlingsströme hingewiesen –, dass wir in den nächsten Jahren große Anstrengungen unternehmen müssen, um Flüchtlinge aufzunehmen und zu integrieren – Integration ist fast genauso wichtig –, muss die Leistungsbereitschaft der Kommunen gewährleistet sein.	4.1
5	18_100_2015-04-23	Wir schlagen Ihnen vor, heute für morgen zu investieren, in Ganztagsplätze in den Kitas, in Qualifizierung und Beratung von Langzeitarbeitslosen ebenso wie von Asylbewerberinnen und Asylbewerbern sowie Geduldeten und in neue Mobilitätskonzepte, damit die Mobilität zukunftsfähig wird.	3
6	18_100_2015-04-23	Zum Schluss werde ich kurz das Thema der Flüchtlinge und Asylbewerber streifen und darauf eingehen, wie unsere Kommunen damit umgehen und wie wir sie dabei stärken können.	x
7	18_100_2015-04-23	Ohne deren Arbeit in den Kommunen, ohne deren Arbeit gerade jetzt mit Asylbewerbern und Flüchtlingen, würde so einiges nicht möglich sein, würde vieles teurer werden.	x
8	18_100_2015-04-23	Sie tragen zur Integration bei.	x
9	18_100_2015-04-23	Wie sind die Sprachkurse und die Unterkünfte für Flüchtlinge organisiert?	x
10	18_100_2015-04-23	Es darf nicht passieren, dass aufgrund der kommunalen Schwierigkeiten die Willkommenskultur in der Bevölkerung kippt.	x
11	18_100_2015-04-23	Die Mehrheit der deutschen Bevölkerung steht beispielhaft zu unserer Willkommenskultur, indem sie vor Ort auf vielfältige Weise die Ankunft und das Leben der Flüchtlinge begleitet und erleichtert.	1.5
12	18_100_2015-04-23	Kolleginnen und Kollegen, das Recht auf Asyl ist und bleibt unantastbar.	1.1
13	18_100_2015-04-23	Uns ist bewusst, dass es nicht reicht, wenn wir uns um eine schnellere Bearbeitung der Asylanträge kümmern und uns sonst damit begnügen, immer wieder einmal Finanzspritzen für die Kommunen zur Verfügung zu stellen.	x
14	18_100_2015-04-23	Ich nenne hier medizinische Versorgung, psychologische Betreuung, Sprachförderung, Schaffung von Arbeitsmöglichkeiten und Integration.	x
