	Term_NDoc_Date	Sentence	Frame
50	18_100_2015-04-23	Das ist ein wichtiges Signal, um denjenigen Tätern, die sich vom Terrorismus abwenden möchten, die Möglichkeit zu geben, ihre Strafe durch die aktive Hilfe zur Aufklärung der Strukturen des Terrorismus zu reduzieren oder gar abzuwenden.	4.6
51	18_100_2015-04-23	Meine lieben Kolleginnen und Kollegen, das heute zu beschließende Gesetz ist ein wichtiger Baustein bei der Bekämpfung des Terrorismus mit dem Mittel des Strafrechts.	x
52	18_100_2015-04-23	Es ist auch nicht auszuschließen, dass wir uns angesichts der Strukturen des Terrorismus noch über weitere Maßnahmen des Gesetzgebers in naher oder weiterer Zukunft werden unterhalten müssen.	x
53	18_100_2015-04-23	Insofern wird uns der strafrechtliche Aspekt der Terrorismusbekämpfung weiter beschäftigen.	x
54	18_100_2015-04-23	Ich finde, eine Konsequenz muss sein, dass wir uns entschlossen dafür einsetzen, dass die Menschen nicht aus ihrer Heimat fliehen müssen, zum Beispiel, weil es dort aufgrund von Terrorismus zu unsicher geworden ist.	2.3
55	18_100_2015-04-23	Genau dieses Ziel verfolgt die UN-Resolution, in der der Sicherheitsrat alle Mitgliedstaaten auffordert, die Ausreise von Dschihadisten, die in terroristischer Absicht ausreisen wollen, unter Strafe zu stellen.	4.6
56	18_100_2015-04-23	Dem gleichen Ziel dient die Aufforderung der Financial Action Task Force der OECD, jegliche Terrorismusfinanzierung unter Strafe zu stellen.	x
57	18_100_2015-04-23	Richtig ist, dass die Strafbarkeit sehr weit vorgezogen wird – das will ich überhaupt nicht in Abrede stellen –, aber angesichts des hohen Gefährdungspotenzials und des dringenden Handlungsbedarfs, den Terrorismus zu bekämpfen, ist dies aus meiner Sicht gerechtfertigt.	4.6
58	18_100_2015-04-23	Schon heute ist die Terrorismusfinanzierung strafbar.	x
59	18_100_2015-04-23	Außerdem darf ich daran erinnern, dass wir beim Generalbundesanwalt sechs zusätzliche Stellen geschaffen haben, sodass jetzt zusätzliches Personal im Bereich der Terrorismusbekämpfung ganz gezielt eingesetzt werden kann.	x
