	Unnamed: 0	Term_NDoc_Date	Sentence	Frame
450	450	18_120_2015-09-09	Mein Kollege Kahrs hat gestern schon den Vorschlag gemacht, 560 Millionen Euro der 880 Millionen Euro – um diesen Betrag wurde die ursprüngliche Finanzplanung erhöht – für die Bekämpfung der Fluchtursachen einzusetzen.	
451	451	18_120_2015-09-09	Wir müssen die politische Beratung vor Ort stärken und dafür sorgen, dass Bürgerkriege, Terrorismus und Korruption schon an Ort und Stelle bekämpft werden.	
452	452	18_120_2015-09-09	Sie haben gerade über das Thema Fluchtursachen gesprochen.	
453	453	18_120_2015-09-09	Wenn die reichen Länder des Westens keine internationale Steuerpolitik ermöglichen, die diese teilweise auch legalen Steuergestaltungsmöglichkeiten verhindert, dann fehlt uns ein ganz wesentlicher Faktor bei der Fluchtursachenbekämpfung.	
454	454	18_120_2015-09-09	Es gibt immer mehr Vertreibung durch Terrorismus und ethnische Probleme, und vor allem auch immer mehr bittere Armut und Hunger, die die Menschen fliehen lassen.	
455	455	18_120_2015-09-09	Ich bin froh, dass wir die drei Sonderinitiativen haben, die von unserem Minister auf den Weg gebracht worden sind, nämlich „EineWelt ohne Hunger“, „Fluchtursachen bekämpfen – Flüchtlinge reintegrieren“ und „Stabilisierung und Entwicklung in Nordafrika und Nahost“, die es schon vorher gab, und dass wir die Mittel von 200 Millionen Euro auf 400 Millionen Euro verdoppeln konnten.	
456	456	18_120_2015-09-09	Aber was sind Fluchtursachen?	
457	457	18_120_2015-09-09	Wir wissen alle, dass es für die Flucht der Migranten vom Westbalkan andere Ursachen gibt als für die Flucht der Menschen aus Syrien oder Eritrea, wo eine Militärdiktatur herrscht, oder aus Nigeria, wo Boko Haram sein Unwesen treibt.	
458	458	18_120_2015-09-09	Wenn wir darauf nicht wirklich Antworten geben und nicht unsere Politik ändern, dann bleibt es bei schönen Worten hier, und es ändert sich nichts an der Bekämpfung von Fluchtursachen.	
459	459	18_120_2015-09-09	Wenn wir an diesen Strukturen nicht grundsätzlich etwas ändern, dann brauchen wir nicht vom Bekämpfen von Fluchtursachen zu sprechen.	
