	Term_NDoc_Date	Sentence	Frame
50	18_100_2015-04-23	Das ist ein wichtiges Signal, um denjenigen Tätern, die sich vom Terrorismus abwenden möchten, die Möglichkeit zu geben, ihre Strafe durch die aktive Hilfe zur Aufklärung der Strukturen des Terrorismus zu reduzieren oder gar abzuwenden.	
51	18_100_2015-04-23	Meine lieben Kolleginnen und Kollegen, das heute zu beschließende Gesetz ist ein wichtiger Baustein bei der Bekämpfung des Terrorismus mit dem Mittel des Strafrechts.	
52	18_100_2015-04-23	Es ist auch nicht auszuschließen, dass wir uns angesichts der Strukturen des Terrorismus noch über weitere Maßnahmen des Gesetzgebers in naher oder weiterer Zukunft werden unterhalten müssen.	
53	18_100_2015-04-23	Insofern wird uns der strafrechtliche Aspekt der Terrorismusbekämpfung weiter beschäftigen.	
54	18_100_2015-04-23	Ich finde, eine Konsequenz muss sein, dass wir uns entschlossen dafür einsetzen, dass die Menschen nicht aus ihrer Heimat fliehen müssen, zum Beispiel, weil es dort aufgrund von Terrorismus zu unsicher geworden ist.	
55	18_100_2015-04-23	Genau dieses Ziel verfolgt die UN-Resolution, in der der Sicherheitsrat alle Mitgliedstaaten auffordert, die Ausreise von Dschihadisten, die in terroristischer Absicht ausreisen wollen, unter Strafe zu stellen.	
56	18_100_2015-04-23	Dem gleichen Ziel dient die Aufforderung der Financial Action Task Force der OECD, jegliche Terrorismusfinanzierung unter Strafe zu stellen.	
57	18_100_2015-04-23	Richtig ist, dass die Strafbarkeit sehr weit vorgezogen wird – das will ich überhaupt nicht in Abrede stellen –, aber angesichts des hohen Gefährdungspotenzials und des dringenden Handlungsbedarfs, den Terrorismus zu bekämpfen, ist dies aus meiner Sicht gerechtfertigt.	
58	18_100_2015-04-23	Schon heute ist die Terrorismusfinanzierung strafbar.	
59	18_100_2015-04-23	Außerdem darf ich daran erinnern, dass wir beim Generalbundesanwalt sechs zusätzliche Stellen geschaffen haben, sodass jetzt zusätzliches Personal im Bereich der Terrorismusbekämpfung ganz gezielt eingesetzt werden kann.	
60	18_100_2015-04-23	Ich glaube – damit komme ich zum Schluss –, dass wir mit diesem Gesetzentwurf wichtige Bausteine bei der Bekämpfung des Terrorismus und seiner Finanzierung beschließen.	
61	18_100_2015-04-23	Die Resolution war die Reaktion auf den wachsenden internationalen Terrorismus insbesondere durch den Islamischen Staat, IS, im Irak und Syrien.	
62	18_100_2015-04-23	Damit sich die betroffenen Personen innerhalb Deutschlands weiterhin ausweisen können, benötigen sie ein geeignetes Ersatzdokument.	
63	18_100_2015-04-23	Wir werden in diesem Zusammenhang auch noch über das Gemeinsame Terrorismusabwehrzentrum und die Antiterrordatei sprechen, ebenso über Prävention und die Verschärfung der Strafbarkeit des Aufenthalts in Ter Deutscher Bundestag – 18. Wahlperiode – 100. Sitzung.	
64	18_100_2015-04-23	Zudem haben wir einen neuen Straftatbestand die Finanzierung des Terrorismus betreffend geschaffen.	
65	18_100_2015-04-23	In Zukunft können wir auch bei kleinsten Beträgen, die in die Unterstützung des Terrorismus fließen, mit Mitteln des Strafrechts vorgehen.	
66	18_100_2015-04-23	Denn am Ende sind die Gefährder vielleicht sogar noch stolz darauf, mit einem amtlichen Dokument endlich als IS-treue Dschihadisten eingestuft zu werden.	
67	18_100_2015-04-23	Zur Begründung erklärt sie, damit sollten mutmaßliche Dschihadisten gehindert werden, sich dem sogenannten Islamischen Staat anzuschließen.	
