,Unnamed: 0,Term_NDoc_Date,Sentence,polarity
3523,3523,18_210_2016-12-16,"Es ist ausgrenzend, und es ist das Gegenteil von Integration.",1.0
3290,3290,18_202_2016-11-23,"Er schreibt: „Als Kind italienischer Einwanderer bin ich hier geboren und aufgewachsen, habe also Deutschland in einer Zeit  erlebt, als noch alles möglich war mit ehrlicher Arbeit.",1.0
3884,3884,18_79_2015-01-15,Deshalb ist die Einwanderung positiv für Deutschland.,1.0
718,718,18_127_2015-10-01,"Die Linke fordert deswegen, dass in den künftigen Berichten die europäische Flüchtlingspolitik und die Fluchtursachen in einem eigenen Kapitel ehrlich aufgearbeitet werden.",1.0
3880,3880,18_79_2015-01-15,Unser Aufenthaltsrecht ist toll!,1.0
3298,3298,18_202_2016-11-23,"Was hat Ihre Regierung denn getan, um die Fluchtursachen wirklich zu bekämpfen und sich für einen fairen Welthandel einzusetzen?",1.0
1863,1863,18_149_2016-01-14,"Im Asylverfahrensgesetz ist ganz klar geregelt, welche Leistungsansprüche in Aufnahmeeinrichtungen bestehen.",1.0
3300,3300,18_202_2016-11-23,"Was man Ihnen vorwerfen kann, ist, dass bei den Fluchtursachen, die wir verändern könnten, nichts passiert.",1.0
1860,1860,18_149_2016-01-14,"Zentrales Ziel dieses Gesetzentwurfes ist die schnelle und flächendeckende Registrierung aller Asylsuchenden und der systematische Datenaustausch zwischen allen Behörden, die mit Asylbewerbern zu tun haben, damit insbesondere Doppelerfassungen, so wie wir das in der Vergangenheit erlebt haben, vermieden werden.",1.0
3302,3302,18_202_2016-11-23,Das wäre zu ändern und wäre eine echte Bekämpfung der Fluchtursachen.,1.0
3871,3871,18_79_2015-01-15,"Wer Terrorismus überwinden will, muss Kriege stoppen.",1.0
733,733,18_127_2015-10-01,"Ich möchte dafür werben, dass wir alles daranset­ zen, auch unserer Öffentlichkeit zu erklären, dass wir die Ursachenbekämpfung angehen, aber auch die ärgste Not lindern müssen, indem wir die Flüchtlinge aus den Schlepperbooten befreien und auf den Boden der Euro­ päischen Union bringen.",1.0
3868,3868,18_79_2015-01-15,"Der Terrorismus, für den der Islam missbraucht wird,  hat Ursachen.",1.0
737,737,18_127_2015-10-01,"Na­ türlich sind die Schlepper grausame Menschen, die ein schlimmes Geschäft mit dem Leid der Flüchtlinge be­ treiben.",1.0
739,739,18_127_2015-10-01,Wir wollen legale und sichere Einwanderungswege und vor allem endlich eine engagierte und effektive Seenotrettung.,1.0
1853,1853,18_149_2016-01-14,"Wir wissen, dass Arbeit zusammen mit Sprache eine der wichtigsten Voraussetzungen für ein Gelingen der Integration ist.",1.0
3304,3304,18_202_2016-11-23,"Ich  finde  es  schlimm,  dass  in  Großbritannien  nach  dem Brexit und jetzt auch in den USA in den Schulklassen Kinder von Einwanderern beschimpft werden, dass Leute gegeneinander aufgewiegelt werden und am Ende der Hass regiert.",1.0
1842,1842,18_149_2016-01-14,"Zum Ende möchte ich noch einmal ganz eindeutig ansprechen, dass die Dringlichkeit und die besondere Herausforderung durch den hohen Zugang von Asylsuchenden von uns allen ein besonnenes Handeln verlangen.",1.0
1841,1841,18_149_2016-01-14,"Es ist für uns deshalb von entscheidender Bedeutung, dass schnelle Verfahren – von der Registrierung über die Stellung eines Asylantrags bis hin zu den Bescheiden – zu eindeutigen, fairen Entscheidungen führen.",1.0
3861,3861,18_79_2015-01-15,"In den schlimmen Stunden, die Paris und die Franzosen zwischen Mittwochmittag und Freitagnachmittag der letzten Woche durchlitten, ging es um zwei der großen Übel unserer Zeit, die nicht immer, aber häufig Hand in Hand gehen: um mörderischen islamischen Terrorismus und Antisemitismus, den Hass auf Juden.",1.0
1839,1839,18_149_2016-01-14,"Wir brauchen eine effiziente Infrastruktur, der alle elektronischen Hilfsmittel zur Verfügung stehen, um in der ohnehin total komplexen Zuständigkeitssituation zwischen Kommunen, Ländern und Bund bei der Registrierung der Asylsuchenden effektiv voranzukommen.",1.0
1834,1834,18_149_2016-01-14,Aber sehr viel wichtiger ist: Kurze Asylverfahren bedeuten auch Akzeptanz in der Bevölkerung.,1.0
1828,1828,18_149_2016-01-14,"Wir sagen doch immer, dass die Integration von Anfang an erfolgen muss, weil nur das für die Integration sinnvoll ist, weil nur das auch im Sinne des Schutzsuchenden ist.",1.0
1818,1818,18_149_2016-01-14,"Künftig wird nur derjenige ein Asylverfahren und entsprechende Leistungen nach dem Asylbewerberleistungsgesetz erhalten, der ordnungsgemäß registriert ist und einen gültigen Ankunftsnachweis vorweisen kann.",1.0
1814,1814,18_149_2016-01-14,"Mit diesem Gesetz wird es gelingen, Asyl- und Schutzsuchende deutlich früher als bisher, einmalig und zentral für alle und biometrisch zweifelsfrei zu erfassen und zu identifizieren.",1.0
3291,3291,18_202_2016-11-23,"Die Bundesregierung ist jedenfalls genauso wie jeder in Europa dem Kampf gegen den Terrorismus verpflichtet,  meine Damen und Herren.",1.0
704,704,18_127_2015-10-01,"Wenn man das Ergebnis mit dem schlechten Asylkompromiss von 1993, wenn ich das einmal sagen darf, vergleicht, dann kann man feststellen: Wir haben in  Eckhardt Rehberg  Deutscher Bundestag – 18.",1.0
3323,3323,18_202_2016-11-23,"Wir legen die gleichen Programme auf – da bist du ja sehr aktiv –, und niemand hat dadurch weniger, dass wir in die Integration von Flüchtlingsfamilien Geld investieren.",1.0
703,703,18_127_2015-10-01,"Ich bin davon überzeugt, dass wir so als Gesamtstaat die Problematik und den Ausnahmezustand beim Thema „Flüchtlinge und Asylbewerber“ bewältigen werden kön­ nen.",1.0
3922,3922,18_79_2015-01-15,"Es geht auch beides zusammen, gute kommunale Leistungen und eine gute Aufnahme von Flüchtlingen und Asylbewerbern, meine sehr verehrten Damen und Herren.",1.0
3242,3242,18_201_2016-11-22,"Ich glaube, wir stellen hier keine absurden Forderungen, sondern mit Blick auf die Integration und die immensen Herausforderungen, die wir in den nächsten Jahren zu leisten haben, sind sie genau der richtige Weg.",1.0
3918,3918,18_79_2015-01-15,Aber – klar – es gibt eine Zunahme der Zahl von Flüchtlingen und Asylbewerbern in Deutschland.,1.0
1969,1969,18_153_2016-01-29,"Ich kann mir gut vorstellen, dass wir Schulsozialarbeit oder Integrationsarbeit an Schulen über ein Programm stärken.",1.0
1964,1964,18_153_2016-01-29,Bei der Frage einer besseren Integration und eines besseren Bildungszugangs waren Sie nicht so erfolgreich.,1.0
1963,1963,18_153_2016-01-29,"Nun haben Sie sich die Nacht um die Ohren geschlagen, um auszuhandeln, wie es gelingen kann, Asylsuchende davon abzuhalten, nach Deutschland zu kommen.",1.0
1961,1961,18_153_2016-01-29,Das Einwanderungsland Deutschland ist zuversichtlich.,1.0
657,657,18_127_2015-10-01,"Und dennoch: Der Bund beteiligt sich dauer­  haft, strukturell und dynamisch an den Kosten, die durch die Aufnahme von Asylbewerbern in Ländern und Kom­ munen entstehen.",1.0
3248,3248,18_201_2016-11-22,"Ich freue mich, dass es wieder gelungen ist, die Mittel für die Migrationsberatung für erwachsene Zuwanderer, MBE, noch einmal um 5 Millionen Euro aufzustocken, nachdem wir im Jahr zuvor bereits 10,5 Millionen Euro drauflegen konnten.",1.0
3907,3907,18_79_2015-01-15,Asylbewerberinnen und Asylbewerber dürfen nicht Bürgerinnen und Bürger zweiter und dritter Klasse sein.,1.0
668,668,18_127_2015-10-01,Über 60 Anschläge auf Asylunterkünfte sind beschämend.,1.0
678,678,18_127_2015-10-01,"Sie versuchen, das Asylrecht an verschiedenen Stellen zu schwächen, und zwar auf Kosten der Flüchtlinge.",1.0
1934,1934,18_152_2016-01-28,Die Linke hat hier eine klare Position: Sport ist keine Spielwiese für Rechtsextremisten und Gewalttäter und auch nicht für Ausländerfeindlichkeit und Rassismus.,1.0
