Document-feature matrix of: 168 documents, 6 features (78.77% sparse) and 6 docvars.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                                                        features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
docs,Sum of features,asylbewerberinnen,asylbewerber,asyl,aufnahmezentrum,auffanglager,aufnahmezentren, deportation,deportationen, ausweisung, abschiebung, abschiebungen, kolonialismus, ausweisungen, ausweisen,deportiert,abschiebung,abschieben,deportierte, pull-faktor, fluchtursachen, emigranten,fluchtursache, push-faktoren, auswanderer, migrationsdruck, pull-faktoren, ausgebürgert, ausgewandert,ausländerbehörde, verwiesen, ausgewiesen,ausländeramt, ausbürgern, zuzug,einwanderung, einwanderer, migrationshintergrund, zuwanderung, zuwanderer, einwanderungen, immigration, einwanderin, migranten, flüchtlingskrise, migrationspolitik,migrationskrise, islamophobie, islamfeindlichkeit, wanderarbeiter, flüchtlingsströme, empfängerländer, migrationsströme, nationalismus, neubürger, aufnahmeländer, neubürgerinnen, aufnahmestaaten, multikulturalismus, aufenthaltserlaubnis, transitländer, transitstaaten, flüchtlingsboote, aufenthaltsgenehmigung, flüchtlingsboot, flüchtlinge, geflüchteten, rassismus, flüchtling, rassisten, geflüchtete, rassist, schwarzfahrer, rückführung
  CPP-BT_Bundestag_Plenarprotokoll_18_100_2015-04-23.txt,89,1,3,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,58,1,1,1,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_101_2015-04-24.txt,9,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
  CPP-BT_Bundestag_Plenarprotokoll_18_102_2015-05-06.txt,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_103_2015-05-07.txt,91,1,4,10,0,0,0,1,0,1,2,0,0,0,0,1,2,1,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,0,4,1,0,0,0,0,1
  CPP-BT_Bundestag_Plenarprotokoll_18_104_2015-05-08.txt,21,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_105_2015-05-20.txt,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_106_2015-05-21.txt,68,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,37,2,1,0,0,2,0,0,1
  CPP-BT_Bundestag_Plenarprotokoll_18_107_2015-05-22.txt,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_108_2015-06-10.txt,46,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,1,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_109_2015-06-11.txt,127,3,21,8,0,0,0,0,0,2,3,0,0,0,2,0,3,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,58,5,1,3,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_110_2015-06-12.txt,43,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_111_2015-06-17.txt,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1
  CPP-BT_Bundestag_Plenarprotokoll_18_112_2015-06-18.txt,67,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,3,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,4,0,0,0,0,0,2
  CPP-BT_Bundestag_Plenarprotokoll_18_113_2015-06-19.txt,44,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,7,3,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_114_2015-07-01.txt,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_115_2015-07-02.txt,148,0,24,13,0,1,0,0,1,2,3,1,0,0,1,3,3,0,0,0,1,0,0,0,0,1,0,0,0,1,3,1,0,0,1,3,2,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,1,0,0,0,0,51,2,2,4,1,1,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_116_2015-07-03.txt,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_117_2015-07-17.txt,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0
  CPP-BT_Bundestag_Plenarprotokoll_18_118_2015-08-19.txt,21,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0
